Company_Full_Name,Shariah,Sector,Company_Key
MAININCH KENNETH KAJANG RUBBER PUBLIC LTD CO,Yes,Plantation,9208
ACEINFOLINE TEC GROUP BERHAD,No,Digital Services,8429
MAININGENIEUR GUDANG BERHAD,Yes,Metals,4270
MAININNATURE BERHAD,Yes,Personal Goods,9832
ACEINNITY CORPORATION BERHAD,No,Media,8919
MAININNOPRISE PLANTATIONS BERHAD,Yes,Plantation,2806
MAININSAS BERHAD,No,Other Financials,3573
MAININTA BINA GROUP BERHAD,Yes,Construction,6385
MAINIOI CORPORATION BERHAD,Yes,Plantation,6966
MAINIOI PROPERTIES GROUP BERHAD,Yes,Property,2103
MAINIQ GROUP HOLDINGS BERHAD,Yes,Household Goods,5394
MAINIQZAN HOLDING BERHAD,Yes,Packaging Materials,8655
MAINIREKA CORPORATION BERHAD,Yes,Construction,7684
ACEIRIS CORPORATION BERHAD,Yes,Software,1042
MAININDUSTRONICS BERHAD,Yes,Technology Equipment,6417
MAINIVORY PROPERTIES GROUP BERHAD,Yes,Property,1864
MAINISKANDAR WATERFRONT CITY BERHAD,Yes,Property,7334
MAINJADE MARVEL GROUP BERHAD,Yes,Building Materials,2557
MAINJADI IMAGING HOLDINGS BERHAD,Yes,Consumer Services,3631
ACEJAG BERHAD,Yes,Industrial Services,2095
MAINJAKS RESOURCES BERHAD,Yes,Construction,9340
MAINJASA KITA BERHAD,No,"Industrial Materials, Components & Equipment",8205
MAINJAYCORP BERHAD,Yes,Household Goods,3084
MAINJCBNEXT BERHAD,No,Industrial Services,5631
MAINJCY INTERNATIONAL BERHAD,Yes,Technology Equipment,8845
MAINJERASIA CAPITAL BERHAD,No,Personal Goods,7040
MAINKUMPULAN JETSON BERHAD,Yes,Auto Parts,6863
ACEJF TECHNOLOGY BERHAD,No,Technology Equipment,5275
MAINJHM CONSOLIDATION BERHAD,Yes,Semiconductors,7321
MAINJIANKUN INTERNATIONAL BERHAD,Yes,Property,1075
LEAPJISHAN BERHAD,Yes,Packaging Materials,9513
MAINJKG LAND BERHAD,Yes,Property,1218
MAINJOE HOLDING BERHAD,No,Auto Parts,4269
MAINJOHAN HOLDINGS BERHAD,No,Other Financials,2414
MAINJENTAYU SUSTAINABLES BERHAD,Yes,Industrial Services,4609
MAINJAYA TIASA HOLDINGS BHD,Yes,Plantation,1183
ACEK-ONE TECHNOLOGY BERHAD,Yes,Technology Equipment,2837
MAINKEJURUTERAAN ASASTERA BERHAD,Yes,Industrial Engineering,7727
MAINKAMDAR GROUP (M,Yes,Retailers,7965
ACEKANGER INTERNATIONAL BERHAD,Yes,Household Goods,1173
MAINKAREX BERHAD,Yes,Personal Goods,7510
MAINKARYON INDUSTRIES BERHAD,Yes,Chemicals,9669
MAINKAWAN FOOD BERHAD,Yes,Food & Beverages,2363
MAINKEIN HING INTERNATIONAL BERHAD,Yes,Metals,2881
MAINKEN HOLDINGS BERHAD,Yes,Property,6314
MAINKENANGA INVESTMENT BANK BERHAD,No,Other Financials,3259
MAINKERJAYA PROSPEK GROUP BERHAD,Yes,Construction,2067
MAINKESM INDUSTRIES BERHAD,Yes,Semiconductors,5403
MAINKEY ASIC BERHAD,No,Semiconductors,7170
MAINKUMPULAN FIMA BERHAD,Yes,Diversified Industrials,1853
MAINKELINGTON GROUP BERHAD,Yes,Industrial Engineering,9145
ACEKEY ALLIANCE GROUP BERHAD,Yes,Technology Equipment,7752
MAINKHEE SAN BERHAD,No,Food & Beverages,7264
MAINKHIND HOLDINGS BERHAD,Yes,Household Goods,9616
ACEKIM HIN JOO (MALAYSIA,Yes,Retailers,3190
MAINKIA LIM BERHAD,Yes,Building Materials,2029
MAINKIM HIN INDUSTRY BERHAD,Yes,Building Materials,9318
MAINKIMLUN CORPORATION BERHAD,Yes,Construction,2731
MAINKIP REAL ESTATE INVESTMENT TRUST,No,Real Estate Investment Trusts,9385
MAINKKB ENGINEERING BERHAD,Yes,Industrial Engineering,5712
MAINKLCC PROPERTY HOLDINGS BERHAD,Yes,Real Estate Investment Trusts,9571
ETFKENANGA KLCI DAILY (-1X,No,N/A,4457
ETFKENANGA KLCI DAILY 2X LEVERAGED ETF,No,N/A,5450
MAINKUALA LUMPUR KEPONG BERHAD,Yes,Plantation,8254
MAINKLUANG RUBBER COMPANY (MALAYA,No,Plantation,5571
MAINKIM LOONG RESOURCES BERHAD,Yes,Plantation,5547
MAINKNM GROUP BERHAD,Yes,Other Energy Resources,5654
MAINKNUSFORD BERHAD,Yes,Industrial Services,4803
MAINKOBAY TECHNOLOGY BERHAD,Yes,"Industrial Materials, Components & Equipment",5826
MAINKOMARKCORP BERHAD,Yes,Packaging Materials,8620
MAINKOSSAN RUBBER INDUSTRIES BERHAD,Yes,Health Care Equipment & Services,2259
MAINKOTRA INDUSTRIES BERHAD,Yes,Pharmaceuticals,2306
MAINKPJ HEALTHCARE BERHAD,Yes,Health Care Providers,2176
MAINKERJAYA PROSPEK PROPERTY BERHAD,Yes,Property,5172
MAINKUMPULAN PERANGSANG SELANGOR BERHAD,Yes,Diversified Industrials,1621
MAINKPS CONSORTIUM BERHAD,Yes,Wood & Wood Products,2311
MAINKRETAM HOLDINGS BERHAD,Yes,Plantation,3635
ACEKRONOLOGI ASIA BERHAD,Yes,Digital Services,7764
MAINKECK SENG (MALAYSIA,No,Diversified Industrials,7908
MAINKSL HOLDINGS BERHAD,Yes,Property,5543
MAINK.SENG SENG CORPORATION BERHAD,Yes,"Industrial Materials, Components & Equipment",8409
MAINKONSORTIUM TRANSNASIONAL BERHAD,No,"Travel, Leisure & Hospitality",7838
ACEKIM TECK CHEONG CONSOLIDATED BERHAD,No,Consumer Services,5201
MAINKUB MALAYSIA BERHAD,Yes,Industrial Services,6372
MAINKUCHAI DEVELOPMENT BERHAD,No,Other Financials,5591
MAINKYM HOLDINGS BERHAD,Yes,Packaging Materials,3183
MAINLAND & GENERAL BERHAD,Yes,Property,1689
MAINLAGENDA PROPERTIES BERHAD,Yes,Property,3055
ACELAMBO GROUP BERHAD,No,Software,5351
MAINLANDMARKS BERHAD,No,"Travel, Leisure & Hospitality",5603
MAINLAY HONG BERHAD,Yes,Agricultural Products,7636
MAINLB ALUMINIUM BERHAD,Yes,Metals,3367
MAINLBI CAPITAL BERHAD,No,Property,1146
MAINLBS BINA GROUP BERHAD,Yes,Property,6966
MAINLOTTE CHEMICAL TITAN HOLDING BERHAD,Yes,Chemicals,5608
MAINLEBTECH BERHAD,Yes,Construction,9859
MAINLEE SWEE KIAT GROUP BERHAD,Yes,Household Goods,1126
MAINLEON FUAT BERHAD,Yes,Metals,5171
MAINLFE CORPORATION BERHAD,Yes,Industrial Engineering,5450
ACELGMS BERHAD,Yes,Digital Services,4076
MAINLEONG HUP INTERNATIONAL BERHAD,No,Agricultural Products,3755
MAINLIEN HOE CORPORATION BERHAD,No,Property,4658
MAINLII HEN INDUSTRIES BHD.,Yes,Household Goods,4489
MAINLION INDUSTRIES CORPORATION BERHAD,Yes,Metals,5292
MAINLION POSIM BERHAD,Yes,Industrial Services,9707
MAINLINGKARAN TRANS KOTA HOLDINGS BERHAD,Yes,Transportation & Logistics Services,8314
ACELKL INTERNATIONAL BERHAD,Yes,Health Care Equipment & Services,5867
MAINLOTUS KFM BERHAD,Yes,Food & Beverages,6590
MAINLPI CAPITAL BHD,No,Insurance,5892
LEAPLIM SEONG HAI CAPITAL BERHAD,Yes,Diversified Industrials,5236
MAINLEADER STEEL HOLDINGS BERHAD,Yes,Metals,9650
MAINLTKM BERHAD,Yes,Agricultural Products,4493
MAINLUSTER INDUSTRIES BHD.,No,"Industrial Materials, Components & Equipment",7528
MAINLUXCHEM CORPORATION BERHAD,Yes,Chemicals,6051
ACELYC HEALTHCARE BERHAD,Yes,Health Care Providers,8781
MAINLYSAGHT GALVANIZED STEEL BERHAD,Yes,Metals,9757
MAINMARINE & GENERAL BERHAD,No,Transportation & Logistics Services,5382
MAINMAA GROUP BERHAD,No,Insurance,8696
ACEMAG HOLDINGS BERHAD,No,Food & Beverages,9776
MAINMAGNA PRIMA BERHAD,Yes,Property,3124
MAINMAGNI-TECH INDUSTRIES BERHAD,Yes,Personal Goods,6409
MAINMAGNUM BERHAD,No,"Travel, Leisure & Hospitality",3930
MAINMAH SING GROUP BERHAD,Yes,Property,4072
MAINMALAKOFF CORPORATION BERHAD,Yes,Electricity,3394
MAINMALPAC HOLDINGS BERHAD,No,Plantation,5421
MAINMALTON BERHAD,Yes,Property,6950
MAINMANULIFE HOLDINGS BERHAD,No,Insurance,1030
MAINMARCO HOLDINGS BERHAD,No,Personal Goods,8576
MAINMALAYSIA STEEL WORKS (KL,Yes,Metals,1901
MAINMASTER-PACK GROUP BERHAD,Yes,Packaging Materials,3741
ACEMATANG BERHAD,No,Plantation,8587
MAINMATRIX CONCEPTS HOLDINGS BERHAD,Yes,Property,8009
MAINMAXIM GLOBAL BERHAD,Yes,Property,4401
MAINMAXIS BERHAD,Yes,Telecommunications Service Providers,2458
MAINMALAYAN BANKING BERHAD,No,Banking,6593
MAINMALAYSIAN BULK CARRIERS BERHAD,No,Transportation & Logistics Services,9029
MAINMUAR BAN LEE GROUP BERHAD,Yes,"Industrial Materials, Components & Equipment",6956
MAINMBM RESOURCES BHD,Yes,Automotive,6622
MAINMETA BRIGHT GROUP BERHAD,Yes,"Travel, Leisure & Hospitality",7912
MAINMALAYSIA BUILDING SOCIETY BERHAD,No,Other Financials,9972
MAINMCE HOLDINGS BERHAD,Yes,Auto Parts,5688
MAINMALAYAN CEMENT BERHAD,Yes,Building Materials,3556
ACEMCLEAN TECHNOLOGIES BERHAD,Yes,Industrial Services,6936
LEAPMCOM HOLDINGS BERHAD,Yes,Digital Services,5841
MAINMCT BERHAD,Yes,Property,5529
MAINMEDIA PRIMA BERHAD,No,Media,3687
MAINMEDIA CHINESE INTERNATIONAL LIMITED,Yes,Media,2948
ACEMEGA SUN CITY HOLDINGS BERHAD,Yes,Industrial Services,5627
MAINMELATI EHSAN HOLDINGS BERHAD,Yes,Construction,1958
MAINMELEWAR INDUSTRIAL GROUP BERHAD,Yes,Metals,3697
MAINMENANG CORPORATION (M,Yes,Property,3317
MAINMENTIGA CORPORATION BERHAD,Yes,Wood & Wood Products,6294
MAINMERCURY INDUSTRIES BERHAD,Yes,Construction,1344
MAINMERIDIAN BERHAD,Yes,Property,1698
MAINMESB BERHAD,Yes,Personal Goods,6337
ACEMESTRON HOLDINGS BERHAD,Yes,Metals,9190
ETFMYETF MSCI SEA ISLAMIC DIVIDEND,Yes,Equity Fund,7068
ETFMYETF DOW JONES U.S. TITANS 50,Yes,Equity Fund,8310
MAINMETROD HOLDINGS BERHAD,No,Metals,5052
MAINMEGA FIRST CORPORATION BERHAD,Yes,Electricity,3971
LEAPMANFORCE GROUP BERHAD,Yes,Consumer Services,8836
MAINMALAYAN FLOUR MILLS BERHAD,Yes,Food & Beverages,9478
MAINMGB BERHAD,Yes,Construction,3894
ACEMALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,Yes,Health Care Equipment & Services,5057
MAINMALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,Yes,"Energy Infrastructure, Equipment & Services",4341
MAINMHC PLANTATIONS BHD,Yes,Plantation,6409
LEAPMETRO HEALTHCARE BERHAD,Yes,Health Care Providers,7387
MAINMI TECHNOVATION BERHAD,Yes,Technology Equipment,1373
ACEMICROLINK SOLUTIONS BERHAD,Yes,Digital Services,9581
MAINMIECO CHIPBOARD BERHAD,Yes,Wood & Wood Products,1671
ACEMIKRO MSC BERHAD,Yes,Technology Equipment,2533
MAINMILUX CORPORATION BERHAD,Yes,Household Goods,5402
MAINMINDA GLOBAL BERHAD,Yes,Consumer Services,3804
MAINMINETECH RESOURCES BERHAD,Yes,Building Materials,8612
MAINMINHO (M,Yes,Wood & Wood Products,2875
MAINMISC BERHAD,Yes,Transportation & Logistics Services,2072
MAINMITRAJAYA HOLDINGS BERHAD,Yes,Construction,2865
MAINMAJUPERAK HOLDINGS BERHAD,Yes,Property,7537
MAINMKH BERHAD,Yes,Property,2010
MAINMK LAND HOLDINGS BERHAD,Yes,Property,7201
ACEMLABS SYSTEMS BERHAD,No,Technology Equipment,3523
ACEMMAG HOLDINGS BERHAD,Yes,Digital Services,7912
LEAPMMIS BERHAD,Yes,"Industrial Materials, Components & Equipment",3021
MAINMMS VENTURES BERHAD,Yes,Technology Equipment,8136
ACEM N C WIRELESS BERHAD,Yes,Telecommunications Equipment,6619
ACEMN HOLDINGS BERHAD,Yes,Construction,3426
MAINMNRB HOLDINGS BERHAD,No,Insurance,7647
ACEMOBILIA HOLDINGS BERHAD,Yes,Household Goods,4219
ACEMANAGEPAY SYSTEMS BERHAD,Yes,Software,7367
MAINMALAYSIA PACIFIC CORPORATION BERHAD,Yes,Property,2512
MAINMPHB CAPITAL BERHAD,No,Insurance,9202
MAINMALAYSIAN PACIFIC INDUSTRIES BERHAD,Yes,Semiconductors,3156
LEAPMATRIX PARKING SOLUTION HOLDINGS BERHAD,Yes,Consumer Services,6246
ACEMQ TECHNOLOGY BERHAD,Yes,Semiconductors,8069
MAINMALAYSIAN RESOURCES CORPORATION BERHAD,Yes,Property,8170
MAINMR D.I.Y. GROUP (M,Yes,Retailers,8518
MAINMALAYSIA SMELTING CORPORATION BERHAD,No,Metals,5072
MAINMSM MALAYSIA HOLDINGS BERHAD,Yes,Food & Beverages,1862
MAINMESINIAGA BERHAD,Yes,Digital Services,1854
ACEMTAG GROUP BERHAD,Yes,Industrial Services,7610
ACEMTOUCHE TECHNOLOGY BERHAD,No,Telecommunications Service Providers,5383
MAINMETRONIC GLOBAL BERHAD,Yes,Industrial Services,2613
MAINMUDA HOLDINGS BERHAD,Yes,Packaging Materials,9919
MAINMUDAJAYA GROUP BERHAD,No,Construction,2956
MAINMULTI-USAGE HOLDINGS BERHAD,Yes,Property,1943
MAINMUHIBBAH ENGINEERING (M,Yes,Construction,3225
MAINMALAYAN UNITED INDUSTRIES BERHAD,No,"Travel, Leisure & Hospitality",8553
MAINMUI PROPERTIES BERHAD,Yes,Property,8434
MAINMULPHA INTERNATIONAL BERHAD,No,"Travel, Leisure & Hospitality",3920
MAINMYCRON STEEL BERHAD,Yes,Metals,5755
MAINMY E.G. SERVICES BERHAD,Yes,Digital Services,6284
ETFMYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25,Yes,Equity Fund,3532
ETFMYETF MSCI MALAYSIA ISLAMIC DIVIDEND,Yes,Equity Fund,8166
MAINMYNEWS HOLDINGS BERHAD,No,Retailers,9497
MAINMYTECH GROUP BERHAD,No,Metals,2548
ACEN2N CONNECT BERHAD,Yes,Software,1888
ACEGAGASAN NADI CERGAS BERHAD,Yes,Construction,7899
MAINNAIM HOLDINGS BERHAD,Yes,Property,9370
MAINNCT ALLIANCE BERHAD,Yes,Property,5324
ACENESTCON BERHAD,Yes,Construction,5516
MAINNESTLE (MALAYSIA,Yes,Food & Beverages,4549
ACENETX HOLDINGS BERHAD,No,Software,3713
ACENEXGRAM HOLDINGS BERHAD,Yes,Telecommunications Equipment,5911
MAINNEXTGREEN GLOBAL BERHAD,Yes,Industrial Services,5589
MAINNEW HOONG FATT HOLDINGS BERHAD,Yes,Automotive,9873
MAINNICHE CAPITAL EMAS HOLDINGS BERHAD,Yes,Personal Goods,3174
MAINNI HSIN GROUP BERHAD,Yes,Household Goods,9518
MAINNOTION VTEC BERHAD,Yes,Technology Equipment,7410
MAINNOVA WELLNESS GROUP BERHAD,Yes,Pharmaceuticals,9505
ACENOVA MSC BERHAD,Yes,Software,1010
LEAPNOVELPLUS TECHNOLOGY BERHAD,No,Digital Services,3858
MAINNPC RESOURCES BERHAD,Yes,Plantation,5519
LEAPNOVA PHARMA SOLUTIONS BERHAD,Yes,Pharmaceuticals,6721
MAINNEGRI SEMBILAN OIL PALMS BERHAD,No,Plantation,8662
MAINNTPM HOLDINGS BERHAD,Yes,Household Goods,7405
MAINNWP HOLDINGS BERHAD,Yes,Wood & Wood Products,1300
MAINNYLEX (MALAYSIA,Yes,Chemicals,4397
MAINOCB BERHAD,Yes,Food & Beverages,1683
MAINOCK GROUP BERHAD,Yes,Telecommunications Service Providers,7945
MAINOCEANCASH PACIFIC BERHAD,Yes,Personal Goods,1012
MAINOCR GROUP BERHAD,Yes,Construction,8509
MAINORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,Yes,Food & Beverages,5234
MAINORIENTAL INTEREST BERHAD,Yes,Property,5027
MAINOKA CORPORATION BHD,Yes,Building Materials,1648
MAINOLYMPIA INDUSTRIES BERHAD,No,"Travel, Leisure & Hospitality",6678
MAINOMESTI BHD,Yes,Digital Services,5457
MAINOM HOLDINGS LIMITED,Yes,Metals,3922
MAINONE GLOVE GROUP BERHAD,Yes,"Travel, Leisure & Hospitality",1272
ACEOPCOM HOLDINGS BERHAD,Yes,Telecommunications Equipment,4245
ACEOPENSYS (M,Yes,Software,8970
ACEOPTIMAX HOLDINGS BERHAD,Yes,Health Care Providers,8187
ACEORGABIO HOLDINGS BERHAD,No,Food & Beverages,9718
MAINORIENTAL HOLDINGS BERHAD,No,Automotive,2588
MAINORNAPAPER BERHAD,Yes,Packaging Materials,3113
MAINOSK HOLDINGS BERHAD,No,Property,1988
ACEOSK VENTURES INTERNATIONAL BERHAD,No,Other Financials,6975
ACEOVERSEA ENTERPRISE BERHAD,No,"Travel, Leisure & Hospitality",6205
ACEOCEAN VANTAGE HOLDINGS BERHAD,Yes,"Energy Infrastructure, Equipment & Services",8282
MAINONLY WORLD GROUP HOLDINGS BERHAD,Yes,"Travel, Leisure & Hospitality",9472
MAINPACIFIC & ORIENT BERHAD,No,Insurance,4793
MAINP.A. RESOURCES BERHAD,Yes,Metals,4305
MAINPADINI HOLDINGS BERHAD,Yes,Retailers,5335
MAINPANASONIC MANUFACTURING MALAYSIA BERHAD,No,Household Goods,8570
MAINPANSAR BERHAD,No,Building Materials,1932
MAINPANTECH GROUP HOLDINGS BERHAD,Yes,Metals,9022
MAINPAOS HOLDINGS BERHAD,Yes,Household Goods,4335
MAINPARAGON UNION BERHAD,Yes,Household Goods,3492
MAINPARAMOUNT CORPORATION BERHAD,Yes,Property,8233
MAINPARKSON HOLDINGS BERHAD,Yes,Retailers,5599
MAINPARKWOOD HOLDINGS BERHAD,Yes,Property,5844
ACEPARLO BERHAD,No,"Travel, Leisure & Hospitality",1231
MAINPASDEC HOLDINGS BERHAD,Yes,Property,2623
ACEPASUKHAS GROUP BERHAD,Yes,Industrial Engineering,4615
MAINPAVILION REAL ESTATE INVESTMENT TRUST,No,Real Estate Investment Trusts,9851
MAINPBA HOLDINGS BHD,Yes,"Gas, Water & Multi-utilities",1700
MAINPUBLIC BANK BERHAD,No,Banking,6230
MAINPCCS GROUP BERHAD,Yes,Personal Goods,5459
MAINPETRONAS CHEMICALS GROUP BERHAD,Yes,Chemicals,5880
MAINPDZ HOLDINGS BHD,Yes,Transportation & Logistics Services,6232
MAINPIMPINAN EHSAN BERHAD,Yes,Construction,1792
MAINPECCA GROUP BERHAD,Yes,Auto Parts,1915
ACEPEKAT GROUP BERHAD,Yes,Industrial Services,6735
MAINPELIKAN INTERNATIONAL CORPORATION BERHAD,Yes,Consumer Services,8853
MAINPETRA ENERGY BERHAD,Yes,"Energy Infrastructure, Equipment & Services",7067
MAINPENSONIC HOLDINGS BERHAD,Yes,Household Goods,3328
MAINPENTAMASTER CORPORATION BERHAD,Yes,Technology Equipment,4190
MAINPERDANA PETROLEUM BERHAD,Yes,"Energy Infrastructure, Equipment & Services",2362
MAINPERMAJU INDUSTRIES BERHAD,Yes,Automotive,7454
MAINPERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA,Yes,Metals,5174
MAINPERTAMA DIGITAL BERHAD,No,Personal Goods,9854
MAINPESONA METRO HOLDINGS BERHAD,Yes,Construction,4835
MAINPESTECH INTERNATIONAL BERHAD,Yes,Industrial Engineering,7955
MAINPETRONAS DAGANGAN BHD,Yes,Retailers,3057
MAINPETRONAS GAS BERHAD,Yes,"Gas, Water & Multi-utilities",6058
MAINPETRON MALAYSIA REFINING & MARKETING BHD,Yes,Oil & Gas Producers,5614
MAINPROPEL GLOBAL BERHAD,Yes,"Energy Infrastructure, Equipment & Services",6431
MAINPGF CAPITAL BERHAD,Yes,Building Materials,4703
MAINPARAGON GLOBE BERHAD,Yes,Property,5306
MAINPHARMANIAGA BERHAD,Yes,Pharmaceuticals,4793
MAINPEGASUS HEIGHTS BERHAD,Yes,Property,9015
MAINPROGRESSIVE IMPACT CORPORATION BERHAD,Yes,Industrial Services,4673
MAINP.I.E. INDUSTRIAL BERHAD,Yes,"Industrial Materials, Components & Equipment",4207
ACEPINEAPPLE RESOURCES BERHAD,No,Digital Services,5778
MAINPINEHILL PACIFIC BERHAD,No,Plantation,3609
MAINPJBUMI BERHAD,Yes,Industrial Services,3848
ACEPETERLABS HOLDINGS BERHAD,No,Agricultural Products,4989
MAINPLB ENGINEERING BERHAD,Yes,Property,3060
MAINPLENITUDE BERHAD,Yes,Property,6445
MAINPLS PLANTATIONS BERHAD,Yes,Plantation,7444
MAINPMB TECHNOLOGY BERHAD,Yes,Metals,4685
MAINPAN MALAYSIA CORPORATION BERHAD,No,"Travel, Leisure & Hospitality",3097
MAINPRESS METAL ALUMINIUM HOLDINGS BERHAD,Yes,Metals,2628
MAINPAN MALAYSIA HOLDINGS BERHAD,Yes,"Travel, Leisure & Hospitality",1821
MAINPNE PCB BERHAD,Yes,"Industrial Materials, Components & Equipment",8997
MAINPOH KONG HOLDINGS BERHAD,Yes,Retailers,3097
MAINPOH HUAT RESOURCES HOLDINGS BERHAD,Yes,Household Goods,3747
LEAPPOLYDAMIC GROUP BERHAD,Yes,"Industrial Materials, Components & Equipment",9725
MAINPOS MALAYSIA BERHAD,Yes,Transportation & Logistics Services,9679
MAINPPB GROUP BERHAD,Yes,Food & Beverages,2558
MAINPUBLIC PACKAGES HOLDINGS BHD,Yes,Packaging Materials,9567
ACEPAPPAJACK BERHAD,No,Other Financials,4841
MAINPRESTAR RESOURCES BERHAD,Yes,Metals,8910
MAINPRG HOLDINGS BERHAD,No,Personal Goods,1968
ACEPRIVASIA TECHNOLOGY BERHAD,Yes,Telecommunications Equipment,6395
MAINPERAK CORPORATION BERHAD,No,Transportation & Logistics Services,5722
MAINPROLEXUS BERHAD,Yes,Personal Goods,6119
MAINPROTASCO BERHAD,Yes,Construction,5830
MAINPINTARAS JAYA BHD,Yes,Construction,4733
MAINPERAK TRANSIT BERHAD,Yes,"Travel, Leisure & Hospitality",5105
ACEPT RESOURCES HOLDINGS BERHAD,No,Food & Beverages,8526
MAINPTT SYNERGY GROUP BERHAD,Yes,Property,8239
ACEPUC BERHAD,Yes,Media,6370
MAINPUNCAK NIAGA HOLDINGS BERHAD,Yes,Construction,1254
MAINPWF CONSOLIDATED BERHAD,Yes,Agricultural Products,8568
MAINPRICEWORTH INTERNATIONAL BERHAD,Yes,Wood & Wood Products,5433
MAINPOWER ROOT BERHAD,Yes,Food & Beverages,8741
ACEPOWERWELL HOLDINGS BERHAD,Yes,"Industrial Materials, Components & Equipment",5144
ACEQES GROUP BERHAD,Yes,"Industrial Materials, Components & Equipment",1217
MAINQL RESOURCES BERHAD,Yes,Agricultural Products,5001
MAINQUALITY CONCRETE HOLDINGS BERHAD,Yes,Building Materials,5454
MAINRALCO CORPORATION BERHAD,Yes,Chemicals,8155
ACERAMSSOL GROUP BERHAD,No,Software,6913
MAINRANHILL UTILITIES BERHAD,Yes,"Gas, Water & Multi-utilities",5751
MAINRAPID SYNERGY BERHAD,No,Property,2084
MAINRCE CAPITAL BERHAD,Yes,Other Financials,7483
MAINREACH ENERGY BERHAD,No,Oil & Gas Producers,4610
LEAPRED IDEAS HOLDINGS BERHAD,No,Digital Services,2108
ACEREDTONE DIGITAL BERHAD,Yes,Telecommunications Service Providers,4053
MAINRENEUCO BERHAD,Yes,Personal Goods,4529
MAINRESINTECH BERHAD,Yes,Building Materials,4308
MAINREVENUE GROUP BERHAD,No,Digital Services,4462
MAINREX INDUSTRY BERHAD,Yes,Food & Beverages,4352
ACEREXIT BERHAD,No,Software,5815
MAINRGB INTERNATIONAL BHD,No,"Travel, Leisure & Hospitality",8548
LEAPRAY GO SOLAR HOLDINGS BERHAD,Yes,Industrial Services,3531
MAINRGT BERHAD,Yes,Chemicals,6952
ACERADIANT GLOBALTECH BERHAD,Yes,Digital Services,2015
MAINRHB BANK BERHAD,No,Banking,8883
MAINRHONE MA HOLDINGS BERHAD,No,Agricultural Products,2951
MAINRHONG KHEN INTERNATIONAL BERHAD,Yes,Household Goods,3283
MAINRESERVOIR LINK ENERGY BHD,Yes,"Energy Infrastructure, Equipment & Services",2736
MAINROHAS TECNIC BERHAD,Yes,Industrial Engineering,4970
LEAPREDPLANET BERHAD,No,Digital Services,6668
MAINRIMBUNAN SAWIT BERHAD,Yes,Plantation,5328
MAINRED SENA BERHAD,No,Special Purpose Acquisition Company,5301
LEAPRTS TECHNOLOGY HOLDINGS BERHAD,Yes,Software,5541
MAINRIVERVIEW RUBBER ESTATES BERHAD,Yes,Plantation,4403
MAINS & F CAPITAL BERHAD,Yes,Wood & Wood Products,1320
MAINSOUTHERN ACIDS (M,Yes,Chemicals,5143
LEAPSAFETYWARE GROUP BERHAD,No,"Industrial Materials, Components & Equipment",3189
MAINSALCON BERHAD,Yes,"Gas, Water & Multi-utilities",2254
MAINSALUTICA BERHAD,Yes,Personal Goods,7675
MAINSAM ENGINEERING & EQUIPMENT (M,Yes,"Industrial Materials, Components & Equipment",4728
ACESAMAIDEN GROUP BERHAD,Yes,Industrial Services,8546
MAINSAMCHEM HOLDINGS BERHAD,No,Chemicals,1959
ACESANICHI TECHNOLOGY BERHAD,No,"Industrial Materials, Components & Equipment",7984
MAINSAPURA INDUSTRIAL BERHAD,Yes,Auto Parts,2151
MAINSAPURA ENERGY BERHAD,Yes,"Energy Infrastructure, Equipment & Services",8355
MAINSAPURA RESOURCES BERHAD,Yes,Property,9689
MAINSASBADI HOLDINGS BERHAD,Yes,Media,3703
MAINSAUDEE GROUP BERHAD,Yes,Food & Beverages,6694
MAINSUNGEI BAGAN RUBBER COMPANY (MALAYA,No,Plantation,8475
MAINSBC CORPORATION BERHAD,Yes,Property,9395
MAINSARAWAK CABLE BERHAD,Yes,"Industrial Materials, Components & Equipment",6373
ACESC ESTATE BUILDER BERHAD,Yes,Construction,2695
ACESCC HOLDINGS BERHAD,No,Consumer Services,4413
MAINSOUTHERN CABLE GROUP BERHAD,Yes,"Industrial Materials, Components & Equipment",3755
MAINSCGM BHD,Yes,Packaging Materials,1757
MAINSARAWAK CONSOLIDATED INDUSTRIES BERHAD,Yes,Building Materials,7444
MAINSCICOM (MSC,No,Industrial Services,9708
MAINSCIENTEX BERHAD,Yes,Packaging Materials,1299
MAINSCIENTEX PACKAGING (AYER KEROH,Yes,Packaging Materials,7726
MAINSCANWOLF CORPORATION BERHAD,Yes,Building Materials,5086
MAINSCOMI GROUP BERHAD,Yes,"Energy Infrastructure, Equipment & Services",7616
MAINSCOMI ENERGY SERVICES BHD,No,"Energy Infrastructure, Equipment & Services",9975
ACESUPERCOMNET TECHNOLOGIES BERHAD,Yes,Health Care Equipment & Services,5129
ACESCOPE INDUSTRIES BERHAD,Yes,"Industrial Materials, Components & Equipment",6624
MAINSELANGOR DREDGING BERHAD,Yes,Property,2942
ACESDS GROUP BERHAD,Yes,Food & Beverages,8561
MAINSEACERA GROUP BERHAD,Yes,Building Materials,5717
MAINSEAL INCORPORATED BERHAD,Yes,Property,6704
MAINSEALINK INTERNATIONAL BERHAD,Yes,Transportation Equipment,6857
