Company_Full_Name,Shariah,Sector,Company_Key
MAINBRITISH AMERICAN TOBACCO (MALAYSIA,No,Personal Goods,6377
MAINBERMAZ AUTO BERHAD,Yes,Automotive,5681
MAINBCB BERHAD,Yes,Property,3542
ACEBCM ALLIANCE BERHAD,No,Industrial Services,5720
MAINBINA DARULAMAN BERHAD,Yes,Property,4934
MAINBENALEC HOLDINGS BERHAD,Yes,Construction,2410
MAINBERTAM ALLIANCE BERHAD,Yes,Property,8144
MAINBESHOM HOLDINGS BERHAD,No,Retailers,7135
MAINBOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,Yes,Transportation Equipment,5029
MAINB.I.G. INDUSTRIES BERHAD,Yes,Diversified Industrials,2177
MAINBIMB HOLDINGS BERHAD,Yes,Banking,9041
ACEBINASAT COMMUNICATIONS BERHAD,Yes,Telecommunications Service Providers,1012
MAINBINTAI KINDEN CORPORATION BERHAD,Yes,Industrial Engineering,9645
ACEBIOALPHA HOLDINGS BERHAD,Yes,Food & Beverages,5646
MAINBINTULU PORT HOLDINGS BERHAD,Yes,Transportation & Logistics Services,8182
MAINBERJAYA ASSETS BERHAD,No,Property,2027
MAINBERJAYA CORPORATION BERHAD,No,Diversified Industrials,5692
MAINBERJAYA FOOD BERHAD,Yes,"Travel, Leisure & Hospitality",8556
MAINBERJAYA LAND BERHAD,No,"Travel, Leisure & Hospitality",3350
MAINBATU KAWAN BERHAD,Yes,Plantation,9344
MAINBLD PLANTATION BHD.,Yes,Plantation,1073
MAINBOILERMECH HOLDINGS BERHAD,Yes,"Industrial Materials, Components & Equipment",6314
MAINBONIA CORPORATION BERHAD,Yes,Personal Goods,1686
MAINBORNEO OIL BERHAD,Yes,Industrial Services,8553
MAINBOX-PAK (MALAYSIA,No,Packaging Materials,2778
MAINBOUSTEAD PLANTATIONS BERHAD,Yes,Plantation,3614
MAINBP PLASTICS HOLDING BHD,Yes,Packaging Materials,2264
MAINBINA PURI HOLDINGS BHD,Yes,Construction,9018
MAINBRIGHT PACKAGING INDUSTRY BERHAD,No,Packaging Materials,5703
MAINBSL CORPORATION BERHAD,Yes,Metals,3767
MAINBOUSTEAD HOLDINGS BERHAD,Yes,Diversified Industrials,3185
ACEBRITE-TECH BERHAD,Yes,"Gas, Water & Multi-utilities",7729
MAINBTM RESOURCES BERHAD,Yes,Wood & Wood Products,5543
MAINBURSA MALAYSIA BERHAD,Yes,Other Financials,5593
LEAPBV LAND HOLDINGS BERHAD,Yes,Construction,2452
MAINCAB CAKARAN CORPORATION BERHAD,Yes,Agricultural Products,3748
ACECABNET HOLDINGS BERHAD,Yes,Technology Equipment,8751
MAINCAELY HOLDINGS BHD,Yes,Personal Goods,5668
MAINCAM RESOURCES BERHAD,Yes,Household Goods,6039
MAINCAN-ONE BERHAD,No,Packaging Materials,3328
MAINCHINA AUTOMOBILE PARTS HOLDINGS LIMITED,No,Auto Parts,7486
MAINCAPITAL A BERHAD,Yes,"Travel, Leisure & Hospitality",8205
MAINCAREPLUS GROUP BERHAD,Yes,Health Care Equipment & Services,9244
MAINCARIMIN PETROLEUM BERHAD,Yes,"Energy Infrastructure, Equipment & Services",8078
MAINCARLSBERG BREWERY MALAYSIA BERHAD,No,Food & Beverages,6942
LEAPCARZO HOLDINGS BERHAD,Yes,Food & Beverages,9968
ACECATCHA DIGITAL BERHAD,No,Media,2979
