Market_Cap,Last_Price,Price–earnings_ratio,Dividend_yield,Return_on_equity,Company_Key,Stock_Key
87.02m,0.35,3.36,0.00,15.55,6956,3165
1.274b,3.26,4.76,7.98,13.37,6622,8712
155.79m,0.08,34.78,0.00,2.30,7912,6599
4.124b,0.58,23.96,5.22,2.01,9972,9076
55.32m,0.99,6.88,0.00,8.44,5688,5397
2.463b,1.88,29.47,0.00,1.45,3556,6869
27.61m,0.14,-,0.00,-45.70,6936,8460
33.94m,0.18,-,0.00,-,5841,7532
160.27m,0.11,-,0.00,-2.97,5529,3492
449.23m,0.41,7.69,3.70,9.17,3687,5757
269.96m,0.16,32.65,3.94,1.22,2948,6061
35.52m,0.06,-,0.00,-4.70,5627,6919
63.60m,0.53,3.36,1.89,8.01,1958,9515
80.87m,0.23,2.26,9.91,8.72,3697,2937
263.25m,0.52,21.76,0.00,3.41,3317,7792
40.60m,0.58,-,0.00,-7.00,6294,8023
56.26m,0.88,-,0.00,-27.98,1344,6199
22.84m,0.03,-,0.00,-6.09,1698,3486
57.40m,0.48,9.21,0.00,6.51,6337,9309
353.57m,0.38,65.52,0.34,5.27,9190,9231
-,0.83,-,-,-,7068,7423
25.74m,1.67,-,0.00,-,8310,7568
144.00m,1.20,10.22,5.00,3.42,5052,5686
3.262b,3.30,6.74,2.05,18.00,3971,5035
76.80m,0.24,-,1.04,-,8836,2193
576.35m,0.57,7.22,3.54,6.12,9478,2351
281.03m,0.48,13.89,1.92,4.02,3894,7703
88.19m,0.71,12.24,0.00,19.33,5057,9594
624.00m,0.39,-,0.00,-6.17,4341,1913
171.98m,0.88,3.20,6.86,17.90,6409,4243
413.20m,0.67,-,0.99,-,7387,9511
1.107b,1.23,17.37,4.07,6.16,1373,7087
646.63m,0.61,24.69,0.83,12.25,9581,8894
600.00m,0.60,31.25,0.00,4.57,1671,4384
94.28m,0.16,19.28,0.31,4.61,2533,8838
175.12m,0.75,75.25,0.00,5.50,5402,3807
72.70m,0.06,15.71,0.00,2.33,3804,6854
35.65m,0.03,-,0.00,-24.86,8612,2417
112.37m,0.32,8.75,0.00,3.24,2875,9697
30.175b,6.76,24.73,4.88,3.37,2072,5928
147.47m,0.19,-,0.00,-1.83,2865,2268
69.68m,0.25,15.12,0.00,2.25,7537,8113
674.53m,1.15,6.37,3.04,5.84,2010,5259
162.98m,0.14,9.85,0.00,1.34,7201,3252
14.49m,0.01,-,0.00,-9.68,3523,8902
59.61m,0.04,-,0.00,-5.67,7912,4350
144.00m,0.24,-,0.00,-,3021,1934
143.82m,0.70,12.15,2.88,15.89,8136,5695
22.87m,0.01,-,0.00,-14.32,6619,1572
83.79m,0.21,-,0.00,-,3426,7968
736.10m,0.94,13.49,2.66,2.24,7647,1826
129.50m,0.19,11.64,2.70,19.88,4219,1847
81.83m,0.10,-,0.00,-4.20,7367,2251
10.07m,0.04,-,0.00,-25.89,2512,8863
1.001b,1.40,61.67,3.57,0.87,9202,1892
6.032b,28.74,18.34,1.22,15.57,3156,2898
40.11m,0.18,-,0.94,-,6246,9882
37.53m,0.03,-,0.00,-,8069,1850
1.340b,0.30,18.87,3.33,1.58,8170,3947
18.571b,1.97,40.29,1.00,35.69,8518,7563
613.20m,1.46,3.12,4.79,29.85,5072,8386
562.38m,0.80,29.63,3.75,1.16,1862,8962
77.92m,1.29,8.79,3.88,8.48,1854,7234
310.14m,0.46,10.32,6.59,14.70,7610,8076
37.07m,0.04,-,0.00,-,5383,8429
22.97m,0.02,-,0.00,-0.96,2613,5506
527.74m,1.73,23.90,2.89,1.66,9919,9711
207.64m,0.16,14.68,0.00,5.45,2956,8320
25.95m,0.46,3.18,0.00,10.56,1943,7192
301.68m,0.42,-,0.00,-0.64,3225,3852
290.32m,0.09,-,0.00,-71.00,8553,2661
122.25m,0.16,8.25,3.12,4.75,8434,6318
709.49m,2.28,1.55,0.00,13.11,3920,9250
139.00m,0.43,2.63,7.06,10.72,5755,4909
6.356b,0.85,19.14,1.51,19.14,6284,4955
142.31m,1.04,-,0.00,-,3532,1975
23.13m,1.18,-,0.00,-,8166,1625
293.33m,0.43,-,0.00,-12.64,9497,5587
120.83m,0.54,68.35,0.00,4.65,2548,5362
260.08m,0.44,15.26,4.60,5.82,1888,6503
207.08m,0.28,-,0.00,-0.53,7899,4469
231.21m,0.45,-,17.56,-3.80,9370,3100
413.25m,0.39,9.37,0.00,8.90,5324,3534
279.15m,0.43,23.22,0.00,9.15,5516,4689
30.602b,130.50,48.20,1.85,88.78,4549,7021
41.80m,0.05,-,0.00,-9.94,3713,6669
22.08m,0.01,-,0.00,-13.81,5911,2169
634.83m,0.81,52.60,0.00,4.67,5589,8483
214.95m,2.60,8.57,3.46,4.96,9873,9594
105.30m,0.12,-,0.00,-17.17,3174,8249
56.96m,0.10,-,0.00,-5.32,9518,3491
159.86m,0.31,-,0.00,-1.99,7410,1575
289.57m,0.91,18.16,3.30,15.66,9505,8779
117.63m,0.10,-,0.00,-37.80,1010,2097
110.00m,0.28,-,0.00,-,3858,4691
225.60m,1.88,8.09,0.00,5.24,5519,1907
34.27m,0.23,-,1.09,-,6721,7610
266.07m,3.79,8.59,3.69,5.42,8662,6166
443.66m,0.40,32.64,4.05,2.63,7405,2563
132.71m,0.24,-,0.00,-87.50,1300,1741
34.98m,0.18,-,0.00,-199.62,4397,3292
73.02m,0.71,-,0.00,-8.46,1683,1783
453.44m,0.43,16.60,1.16,4.32,7945,1839
73.02m,0.28,14.58,2.86,4.39,1012,2352
89.10m,0.09,-,0.00,-7.40,8509,2140
268.80m,1.12,12.47,2.50,9.66,5234,9634
450.64m,0.97,8.08,3.61,8.57,5027,2891
192.64m,0.79,10.51,5.73,9.58,1648,8561
71.64m,0.07,-,0.00,-3.74,6678,7690
186.97m,0.35,-,0.00,-11.28,5457,1619
1.300b,1.76,-,0.00,-,3922,5622
168.98m,0.60,-,0.00,-,1272,1943
221.87m,0.80,79.50,0.00,1.72,4245,3202
156.39m,0.35,13.21,2.86,14.72,8970,3767
405.00m,0.75,25.08,2.53,27.18,8187,9847
79.32m,0.32,-,0.00,-,9718,2078
4.026b,6.49,7.07,6.16,8.09,2588,4721
77.51m,1.03,17.58,1.94,2.27,3113,7070
1.812b,0.87,4.89,5.78,6.68,1988,3973
80.03m,0.41,3.33,4.94,11.17,6975,2905
97.47m,0.09,-,0.00,-6.12,6205,8629
67.19m,0.16,8.84,0.00,12.07,8282,7777
200.34m,0.47,-,0.00,-8.13,9472,9158
293.75m,1.02,6.90,8.43,11.64,4793,4381
353.01m,0.26,8.17,1.96,18.14,4305,4910
2.072b,3.15,13.45,3.17,17.35,5335,6857
1.386b,22.82,30.73,3.64,5.81,8570,5258
283.09m,0.61,32.97,1.23,2.80,1932,4005
516.55m,0.62,6.20,6.50,10.67,9022,2783
51.63m,0.29,-,0.00,-3.59,4335,2082
124.07m,1.48,-,0.00,-41.38,3492,4311
419.80m,0.68,10.83,4.44,2.70,8233,5854
149.36m,0.13,-,0.00,-,5599,8618
39.48m,0.14,-,0.00,-2.20,5844,1766
32.85m,0.07,-,0.00,-,1231,9558
130.12m,0.33,47.79,0.00,0.74,2623,4450
38.11m,0.02,-,0.00,-13.00,4615,8649
3.850b,1.26,19.87,3.50,5.12,9851,6242
245.14m,0.74,4.79,3.04,6.69,1700,3827
82.107b,4.23,14.77,3.59,11.32,6230,4105
138.44m,0.64,5.96,9.45,12.85,5459,8353
67.120b,8.39,8.42,6.67,21.01,5880,7337
17.44m,0.03,-,0.00,-4.48,6232,4731
86.41m,1.25,56.31,0.00,2.27,1792,7342
665.52m,0.89,29.11,1.58,12.02,1915,2280
306.36m,0.48,24.87,0.00,10.05,6735,7037
164.20m,0.27,1.70,74.07,21.79,8853,1913
205.92m,0.64,-,6.25,-0.20,7067,9254
62.89m,0.49,4.35,2.58,9.88,3328,5397
2.956b,4.15,37.56,0.48,13.51,4190,7638
199.53m,0.09,-,0.00,-50.36,2362,4484
77.35m,0.04,-,0.00,-11.87,7454,8365
552.53m,4.28,7.63,4.67,13.36,5174,5833
650.04m,1.50,-,0.00,-,9854,7066
132.05m,0.19,-,0.00,-8.29,4835,2219
297.67m,0.30,21.74,4.00,2.04,7955,3444
19.889b,20.02,32.46,3.50,10.88,3057,4956
32.649b,16.50,17.74,4.97,14.18,6058,4249
1.183b,4.38,3.09,4.57,17.39,5614,5121
66.48m,0.11,-,0.00,-,6431,8894
177.18m,1.10,35.03,0.91,2.65,4703,4334
119.46m,0.16,35.56,0.00,1.12,5306,9520
674.63m,0.52,4.12,18.06,40.32,4793,2236
54.11m,0.01,-,0.00,-15.00,9015,3727
55.93m,0.09,-,3.53,-9.89,4673,7848
1.064b,2.77,17.69,2.53,11.60,4207,5951
48.50m,1.00,-,0.00,-3.95,5778,4254
49.44m,0.33,-,0.00,-4.08,3609,2093
28.70m,0.35,-,0.00,-,3848,3639
49.54m,0.18,9.00,3.33,7.38,4989,9545
129.25m,1.15,20.99,0.00,4.46,3060,8389
362.46m,0.95,14.48,2.63,1.58,6445,6890
319.72m,0.80,11.71,0.00,9.97,7444,7518
4.767b,3.79,21.22,0.26,23.50,4685,7319
123.74m,0.16,47.06,3.12,1.11,3097,3161
33.288b,4.04,23.79,0.93,24.26,2628,2009
55.73m,0.06,-,0.00,-0.31,1821,7540
22.42m,0.04,-,0.00,-30.31,8997,8515
291.35m,0.71,3.16,1.69,13.46,3097,2667
381.27m,1.37,6.70,3.65,10.61,3747,5723
27.35m,0.31,-,5.42,-,9725,3177
481.41m,0.62,-,0.00,-25.90,9679,1655
22.904b,16.10,12.01,2.17,7.45,2558,3668
151.28m,0.57,4.57,0.00,10.31,9567,5483
323.98m,0.49,-,0.00,-,4841,2712
156.86m,0.44,1.82,10.63,18.80,8910,6204
58.03m,0.14,-,0.00,-1.00,1968,4686
49.12m,0.08,-,0.00,-7.70,6395,3456
25.00m,0.25,-,0.00,-1.09,5722,2613
118.99m,0.43,13.92,0.70,3.03,6119,5666
81.74m,0.17,126.92,0.00,0.20,5830,1954
354.95m,2.14,8.62,4.67,10.31,4733,7937
624.36m,0.88,11.25,3.66,9.14,5105,5268
246.11m,0.46,-,0.00,-,8526,5200
92.70m,1.03,11.02,0.00,9.64,8239,7166
40.63m,0.03,-,0.00,-27.64,6370,7546
94.35m,0.21,-,0.00,-0.99,1254,2845
94.52m,0.48,11.34,8.42,2.55,8568,4873
181.77m,0.13,-,0.00,-,5433,2550
829.24m,1.89,21.02,2.86,14.27,8741,2445
119.01m,0.21,-,0.00,-2.00,5144,4631
379.53m,0.46,19.36,0.88,13.82,1217,2256
12.120b,4.98,47.07,0.70,9.98,5001,4553
60.28m,1.04,18.71,0.00,3.01,5454,1695
33.27m,0.66,-,0.00,-,8155,5557
95.91m,0.43,16.10,0.00,11.61,6913,9469
505.41m,0.39,17.65,0.00,4.09,5751,7205
1.482b,13.86,442.81,0.00,2.11,2084,5234
1.185b,1.60,9.12,4.68,14.62,7483,6141
38.37m,0.04,-,0.00,-18.23,4610,8527
21.00m,0.20,-,0.00,-,2108,7757
363.84m,0.47,9.36,3.87,17.69,4053,6461
119.42m,0.22,20.37,0.00,2.70,4529,5381
103.74m,0.53,21.90,3.54,0.02,4308,9707
441.15m,0.93,33.27,0.00,8.42,4462,8836
98.65m,0.15,48.39,1.33,1.19,4352,5930
143.89m,0.76,15.23,5.26,20.79,5815,9802
201.27m,0.13,-,0.00,-5.00,8548,9810
33.15m,0.13,-,0.00,-,3531,5780
331.33m,0.35,33.02,1.71,7.26,6952,5861
175.94m,0.34,22.19,0.00,10.71,2015,9444
23.419b,5.56,9.36,7.19,9.12,8883,3093
150.43m,0.68,11.79,2.94,8.49,2951,9795
254.61m,1.31,7.17,6.11,5.42,3283,3892
106.01m,0.37,365.00,1.37,0.38,2736,3061
118.16m,0.25,1250.00,0.00,0.03,4970,2967
46.23m,0.29,-,4.66,-,6668,6785
265.42m,0.13,15.66,0.00,4.61,5328,5694
505.00m,0.51,-,0.00,-,5301,7669
20.53m,0.17,-,0.00,-,5541,6892
226.98m,3.50,9.88,6.86,6.08,4403,8505
33.02m,0.06,-,0.00,-4.30,1320,6139
490.22m,3.58,5.71,1.40,11.58,5143,1933
60.65m,0.19,-,0.00,-,3189,1955
172.11m,0.17,170.00,0.00,0.22,2254,6910
127.95m,0.30,-,0.00,-4.40,7675,6017
2.665b,4.92,30.64,0.71,11.90,4728,2361
290.68m,0.76,24.35,0.00,13.84,8546,3421
408.00m,0.75,5.49,6.00,26.78,1959,8299
35.08m,0.03,-,0.00,-32.70,7984,9821
56.04m,0.77,22.45,4.42,2.42,2151,2709
639.16m,0.04,-,0.00,-4501.00,8355,7608
35.60m,0.26,-,0.00,-279.04,9689,7381
40.34m,0.10,-,0.00,-7.55,3703,5135
34.71m,0.04,-,0.00,-3.45,6694,5027
215.58m,3.25,-,2.15,-3.24,8475,3931
91.64m,0.36,4.99,0.00,4.39,9395,6903
41.89m,0.11,-,0.00,-,6373,8722
53.70m,0.05,-,0.00,-,2695,9642
47.29m,0.34,14.08,2.99,7.28,4413,4189
268.00m,0.34,25.57,0.63,3.74,3755,9564
160.69m,0.83,5.84,7.73,13.05,1757,5617
78.58m,0.14,-,0.00,-42.88,7444,9617
366.12m,1.03,11.64,6.80,27.66,9708,8681
5.382b,3.47,13.13,2.59,13.22,1299,2262
765.55m,2.18,17.74,2.29,11.70,7726,5841
103.13m,0.53,-,0.00,-19.59,5086,2174
5.47m,0.01,-,0.00,-,7616,2223
18.73m,0.04,-,0.00,-,9975,2649
1.265b,1.66,39.81,0.90,9.70,5129,8337
173.05m,0.15,28.85,0.00,2.94,6624,7013
183.23m,0.43,-,0.00,-0.51,2942,9515
235.54m,0.58,15.05,1.30,18.19,8561,7141
105.77m,0.17,15.74,0.00,0.94,5717,5153
57.80m,0.20,13.33,0.00,1.37,6704,6846
35.00m,0.07,-,0.00,-25.91,6857,7009
89.60m,1.12,17.39,0.00,17.41,9067,5669
104.21m,0.30,39.47,0.00,6.39,3585,4853
82.03m,1.02,3.13,3.53,28.23,9449,3983
25.76m,0.10,-,0.00,-,6766,4839
790.90m,0.63,17.31,4.80,33.12,5462,7823
1.924b,1.56,23.82,1.67,66.84,8112,6002
70.30m,0.09,-,0.00,-42.26,4455,6690
342.51m,0.66,-,4.55,-,4213,3505
1.005b,0.67,15.02,1.94,13.31,1359,4951
921.73m,0.86,14.03,8.62,5.14,1262,5639
93.18m,0.03,-,0.00,-57.57,8500,7460
673.20m,0.77,73.33,0.00,4.38,7815,2978
48.93m,0.09,-,0.00,-5.17,3363,4605
1.392b,1.74,-,0.29,-,3994,7440
27.44m,0.30,-,0.00,-,5981,5520
1.492b,3.39,-,0.00,-8.33,5444,9346
90.79m,0.31,4.00,0.00,8.81,1702,3071
68.50m,0.69,13.30,0.00,6.96,7502,8799
467.30m,1.93,9.58,4.66,5.64,2294,9405
73.45m,0.15,-,0.00,-,7694,6557
510.78m,1.73,-,0.00,-,5855,8378
14.573b,2.14,13.21,5.37,6.89,5534,8153
28.285b,4.09,10.85,4.96,15.98,7280,5734
3.060b,0.45,14.33,2.22,2.28,3671,9397
50.32m,0.06,-,0.00,-8.11,8587,1767
114.05m,2.35,-,0.00,-2.04,8760,3331
45.54m,0.35,4.76,0.00,9.54,7001,5181
120.00m,0.75,-,0.52,-,4774,1756
2.594b,1.66,14.86,3.34,20.31,9833,2203
49.53m,0.39,-,3.85,-,9082,6723
272.59m,0.86,13.37,6.40,10.42,2655,5760
483.98m,0.73,43.67,0.92,6.15,4060,7499
43.17m,0.11,-,0.00,-12.74,5586,3303
43.24m,0.08,-,0.00,-6.76,1197,4917
44.09m,0.21,-,0.00,-3.01,5374,6611
52.59m,0.21,-,0.95,-,3907,4790
27.78m,0.62,42.76,0.00,1.14,8399,1596
51.47m,0.12,-,0.00,-,8985,2062
39.80m,0.05,-,0.00,-,3937,4607
72.99m,0.32,-,0.00,-38.50,4479,2443
42.22m,0.20,-,0.85,-,8994,8589
443.51m,0.28,-,0.00,-,6694,5355
79.42m,0.14,-,0.00,-67.25,9153,2708
96.08m,0.19,9.54,1.62,5.24,6375,1544
61.83m,0.14,2.23,14.29,26.06,4387,2227
1.949b,2.19,2.85,3.04,21.15,5399,1618
81.06m,0.20,13.54,0.00,7.58,2699,3907
413.69m,1.97,14.58,2.28,6.03,5350,6481
2.343b,0.58,8.31,1.13,2.35,8531,2594
2.378b,1.76,14.72,3.98,17.85,6296,9874
16.67m,0.09,-,0.00,-18.83,3093,7602
384.62m,0.65,-,0.00,-15.01,1805,7213
203.10m,0.28,-,0.00,-11.40,5199,6730
64.32m,0.96,52.17,2.60,2.45,1329,4096
117.77m,0.13,14.37,1.60,4.97,2124,9312
163.02m,0.78,-,0.00,-,3869,8521
176.56m,0.70,8.61,2.57,5.31,1530,3129
1.939b,1.50,12.85,3.50,21.22,3737,5594
222.24m,0.95,-,0.00,-,3975,1781
4.795b,1.40,-,3.71,-,8562,7989
340.45m,0.38,15.26,5.26,2.13,7831,6682
7.747b,1.57,2.72,1.59,27.46,2331,4696
154.82m,0.22,67.19,0.00,1.88,1053,7637
100.80m,0.63,21.14,2.38,3.29,8221,2133
1.836b,0.68,2.51,11.85,14.79,7557,7061
81.60m,0.68,-,4.31,-,2119,9140
359.65m,1.04,10.52,3.85,2.96,8366,9869
449.35m,0.51,8.20,3.56,8.47,3302,2744
543.20m,1.94,3.67,10.31,20.57,2523,9238
59.14m,0.22,28.29,0.00,1.52,8085,3923
72.86m,0.18,60.34,0.00,0.43,9459,7367
157.88m,0.28,-,4.55,-14.97,2222,3636
279.41m,0.39,6.11,5.13,4.20,9006,4834
810.00m,0.68,5.71,0.00,12.85,7045,5637
57.37m,0.17,-,1.21,-0.78,9690,4602
238.47m,0.32,18.86,1.59,4.51,8699,6458
1.437b,3.23,3.63,9.29,22.71,1112,2380
185.92m,0.49,24.14,0.00,10.68,1193,7169
2.763b,3.30,7.17,3.64,20.00,2662,9185
64.43m,0.02,-,0.00,-2.06,8554,5563
1.824b,0.91,24.26,7.29,9.14,4194,4902
318.50m,0.73,4.68,8.14,9.56,8714,9329
538.82m,0.31,-,0.00,-6.99,1949,4184
33.30m,0.19,-,0.00,-1.61,9010,8787
640.00m,0.80,8.66,3.12,14.00,4590,2656
136.11m,0.39,2.47,12.82,20.01,3993,9874
154.07m,0.05,-,0.00,-0.59,7145,1536
766.08m,1.14,-,1.32,-0.50,1173,3500
95.55m,0.25,-,0.00,-7.76,6515,9021
63.28m,0.08,-,0.00,-35.33,5766,7256
292.89m,0.17,-,3.76,-1.93,3160,8074
46.11m,1.15,1.53,2.61,0.33,7017,8712
174.70m,0.33,15.57,4.55,7.07,7657,7385
55.37m,0.03,0.25,0.00,220.00,4740,2275
110.00m,0.31,7.55,9.84,6.52,1126,7984
829.98m,1.03,19.92,1.26,8.48,8801,1986
46.312b,8.05,12.70,4.97,6.25,9704,1504
211.51m,0.71,9.44,0.00,6.85,6659,1688
375.33m,2.97,10.00,3.37,17.87,6502,6155
108.88m,0.43,17.14,0.00,5.28,6406,8374
29.29m,0.05,-,0.00,-,7980,7111
89.64m,1.09,5.62,4.13,14.79,7755,6670
1.019b,2.60,10.22,2.12,12.54,1104,9133
96.14m,0.82,-,0.00,-0.53,2758,4807
349.12m,0.40,5.82,3.80,8.82,1025,1783
71.10m,0.13,-,0.00,-14.24,7786,3668
140.40m,0.97,334.48,5.77,0.14,7242,7205
8.485b,4.62,20.30,4.63,13.23,6806,6353
41.41m,0.47,5.67,4.30,12.13,8906,7369
327.03m,0.24,600.00,0.00,0.05,8515,7247
83.96m,0.27,16.67,3.77,4.68,1909,6050
20.719b,5.47,19.38,2.38,13.29,7332,3056
1.010b,0.58,24.37,0.47,5.06,6858,8382
316.70m,0.60,80.00,1.67,0.49,4427,4711
132.80m,2.04,63.75,0.00,3.48,7541,3622
118.50m,0.86,2.00,3.51,17.43,7187,3682
172.45m,0.40,-,0.00,-,8000,8488
454.97m,2.89,5.18,6.92,16.23,2805,2352
21.18m,0.03,0.14,0.00,21300.00,8969,8106
5.129b,0.63,21.70,1.92,4.11,3865,8573
187.86m,0.74,-,1.09,-,8486,8719
72.98m,0.62,-,1.61,-,5923,3308
55.48m,0.18,18.75,0.00,4.57,1562,4770
144.15m,0.30,6.59,4.00,4.69,2520,2283
64.74m,0.39,6.05,2.56,12.17,5899,4129
56.86m,0.05,4.21,0.00,11.89,2035,5466
2.439b,1.22,-,0.00,-2.41,8381,4202
1.271b,0.92,4.75,3.26,15.06,4197,1913
31.40m,0.18,-,0.00,-2.17,7010,4608
195.46m,0.26,-,0.00,-6.85,4018,6996
74.52m,0.69,15.97,2.90,4.11,6874,7088
37.74m,0.17,17.93,0.00,1.70,3466,3573
167.86m,0.05,-,0.00,-4.36,9643,9372
131.84m,0.47,22.38,3.94,1.13,1248,8222
1.479b,3.25,13.76,6.15,52.49,8539,5504
34.20m,0.06,-,0.00,-141.00,1489,7802
1.315b,0.26,-,0.00,-2.42,5710,4864
228.69m,1.05,5.16,3.81,13.12,1997,4457
299.13m,0.80,-,0.00,-,4638,7595
1.122b,5.35,10.26,2.80,7.78,4782,3688
78.12m,1.92,19.98,3.12,2.36,9981,2633
74.40m,0.93,6.54,3.23,9.54,5756,4483
3.493b,2.99,8.72,1.94,9.60,5178,8435
223.14m,1.48,8.77,3.04,8.12,1467,2265
90.00m,0.23,-,0.00,-,9909,7428
4.194b,2.60,11.84,1.92,14.81,8304,9692
351.56m,0.23,-,3.64,-,3032,1704
577.81m,0.79,-,0.00,-,5171,3218
3.926b,1.63,19.36,6.13,3.58,9265,9488
749.91m,1.11,17.82,7.78,4.36,3290,3348
166.33m,2.09,18.63,3.83,3.26,5397,8681
90.02m,0.27,-,0.56,-,3625,7745
5.969b,14.34,-,8.02,-,7580,6764
4.317b,3.92,40.37,0.74,26.97,9492,2135
126.73m,0.36,23.08,0.00,1.07,2687,7364
944.79m,0.12,-,0.00,-5.93,6185,9491
144.25m,0.52,257.50,0.00,0.71,2560,4785
188.97m,0.20,-,0.00,-,4393,9076
107.45m,0.62,11.71,2.44,15.00,8829,7802
6.830b,7.23,36.01,0.63,24.22,1491,5691
112.62m,0.06,-,0.00,-13.14,4144,7996
71.78m,0.44,-,2.99,-,9407,7691
3.732b,0.97,22.00,3.09,7.74,9920,2590
48.35m,0.01,-,0.00,-25.00,9046,4192
385.20m,1.07,6.73,5.33,14.73,9889,9820
73.89m,0.08,-,0.00,-51.00,9014,7398
128.80m,0.81,16.63,2.48,3.87,8107,9024
68.54m,1.02,-,0.00,-6.84,5520,6525
468.81m,0.61,-,0.00,-15.62,1533,3019
43.08m,0.51,-,0.00,-1.34,9721,4643
687.17m,0.23,-,0.00,-10.21,3871,2236
581.44m,0.41,5.55,1.22,3.37,4396,4774
107.26m,0.20,10.48,2.56,8.86,6432,9635
562.68m,1.13,15.76,6.19,28.57,9905,9871
990.90m,0.36,12.12,0.00,22.85,2268,6786
166.16m,0.34,10.70,4.48,8.24,1891,3379
42.24m,0.10,-,0.00,-5.39,7664,9499
98.34m,0.39,30.47,2.56,3.88,6603,9064
25.60m,0.64,14.10,0.00,5.16,5219,8907
10.435b,3.06,14.17,5.81,23.57,2584,5277
144.00m,0.60,3.04,5.00,7.23,9894,8013
235.86m,0.49,9.01,3.06,3.11,2302,9434
42.32m,0.02,-,0.00,-10.80,2006,5907
56.24m,0.22,26.19,0.00,1.04,5875,3313
146.17m,0.67,131.37,0.00,0.81,6865,7644
101.02m,0.02,-,0.00,-30.19,2259,5725
22.71m,0.02,-,0.00,-10.20,4328,8363
22.40m,0.03,-,0.00,-14.71,8935,9626
156.21m,0.72,12.52,0.00,4.02,4345,4632
103.42m,0.36,-,0.00,-,6977,4556
173.66m,0.69,23.23,0.00,10.61,6333,6126
234.00m,0.78,11.17,3.85,10.45,8809,1708
138.43m,0.26,-,1.15,-,4985,8644
31.94m,0.13,-,0.00,-8.89,4953,7850
6.563b,2.15,15.40,1.40,3.76,8584,9140
53.98m,0.12,12.50,0.00,6.40,1198,2504
26.25m,0.26,-,0.00,-4.99,2445,6308
2.137b,4.04,159.06,0.00,1.10,4579,4059
177.60m,1.11,5.24,3.60,12.10,8955,6844
83.18m,0.22,-,0.00,-458.45,5294,5454
283.44m,2.01,11.10,3.98,7.24,6688,6977
6.393b,0.58,10.80,5.17,4.59,4396,7826
5.670b,0.70,4.51,6.47,8.71,4918,8903
1.525b,0.90,18.19,4.41,3.02,9158,8547
70.71m,0.19,-,0.00,-,9770,3180
55.28m,0.38,-,0.00,-,3109,4516
38.02m,0.05,4.74,0.00,8.64,2012,2471
20.21m,0.03,7.81,0.00,4.51,6411,2345
887.80m,1.93,14.74,8.81,11.42,1398,2849
