Market_Cap,Last_Price,Price–earnings_ratio,Dividend_yield,Return_on_equity,Company_Key,Stock_Key
22.29m,0.08,2.23,0.00,6.65,3767,3518
1.155b,0.57,2.32,0.00,13.75,3185,1713
64.26m,0.26,6.93,3.14,11.50,7729,1995
19.67m,0.12,-,0.00,-38.56,5543,3831
5.026b,6.21,18.45,6.60,33.65,5593,3878
40.68m,0.30,-,0.00,-,2452,2696
336.91m,0.48,8.32,0.00,8.13,3748,8315
39.33m,0.22,-,0.00,-,8751,5825
73.60m,0.29,-,1.75,-,5668,4282
59.04m,0.30,4.95,3.33,8.91,6039,3185
666.77m,3.47,-,1.15,-2.52,3328,5709
13.62m,0.01,-,0.00,-,7486,2172
2.601b,0.63,-,0.00,-,8205,8665
140.39m,0.25,-,16.33,-19.26,9244,4548
121.62m,0.52,17.93,11.54,3.98,8078,8165
6.879b,22.50,24.75,2.49,197.61,6942,8300
52.96m,0.60,-,0.00,-,9968,2137
24.91m,0.19,-,0.00,-90.00,2979,3927
532.71m,1.08,6.08,3.70,10.21,6596,2109
173.81m,0.45,-,0.00,-,7721,6532
416.27m,0.66,11.52,1.89,10.81,9447,7138
107.99m,0.56,22.75,3.60,7.18,4606,5279
360.27m,0.44,-,0.84,-,1709,9104
138.07m,0.25,8.14,3.00,17.54,4441,5900
195.84m,0.62,2.94,4.88,16.34,2569,8558
70.15m,0.94,-,0.00,-16.85,4272,9029
398.03m,1.15,-,0.35,-,6104,6756
441.80m,1.88,-,10.64,-,2097,4662
114.62m,0.92,166.36,0.00,0.90,2719,2636
53.49m,0.11,-,0.00,-5.03,7072,6687
471.44m,1.00,-,0.00,-,6148,3988
106.50m,0.36,11.02,0.00,1.19,6808,1589
5.098b,2.88,66.98,0.17,5.89,5042,4518
748.27m,8.19,7.45,5.13,12.30,4682,6485
491.23m,1.64,5.12,8.17,13.81,6156,3750
189.63m,0.96,2.30,5.21,8.55,6421,1879
70.84m,0.42,9.72,4.31,2.35,6850,4553
437.40m,2.70,6.51,4.44,20.44,1258,2082
53.733b,5.13,15.52,4.48,5.74,1843,2183
256.48m,0.24,25.27,0.00,5.81,5477,8151
285.23m,0.48,8.47,1.04,7.56,9000,3761
1.189b,0.54,-,3.61,-0.24,6379,2981
78.96m,0.10,-,0.00,-,6413,9249
44.71m,0.05,-,0.00,-9.62,8651,4554
880.99m,0.82,4.64,2.44,6.14,7208,8957
51.40m,0.28,-,0.00,-9.23,2865,4858
527.88m,1.06,-,0.00,-,7456,2101
36.00m,0.05,500.00,0.00,0.10,4363,1676
40.08m,0.06,-,0.00,-1.89,7492,8660
1.030b,1.91,5.65,0.00,13.13,5729,8020
677.25m,1.48,24.10,3.38,10.59,9169,9144
12.60m,0.09,-,0.00,-25.87,1302,4707
285.65m,0.49,-,13.27,-,3735,3950
45.84m,0.01,-,0.00,-4.00,3529,5006
351.23m,0.82,25.47,0.00,16.95,2712,7001
84.92m,0.48,-,0.00,-9.40,8498,3190
300.09m,1.07,9.40,3.74,3.40,4768,5300
