Stock_Short_Name,Stock_Code,Market_Name,Stock_Key
DBHD,3484,MAIN,8268
DELEUM,5132,MAIN,5692
DESTINI,7212,MAIN,5181
DFCITY,5165,MAIN,3029
DFX,0131,ACE,3857
DGB,0152,ACE,3020
DIALOG,7277,MAIN,8286
DIGI,6947,MAIN,7725
DIGISTA,0029,MAIN,4540
DIN040000223,0400GA,MAIN,8933
DIN045801028,0400GB,MAIN,6716
DKLS,7528,MAIN,3818
DKSH,5908,MAIN,3030
DLADY,3026,MAIN,5498
DNEX,4456,MAIN,9604
DNONCE,7114,MAIN,2017
DOLMITE,5835,MAIN,5130
DOLPHIN,5265,MAIN,8658
DOMINAN,7169,ACE,8970
DPHARMA,7148,MAIN,6515
DPIH,0205,MAIN,7711
DPS,7198,MAIN,4116
DRBHCOM,1619,LEAP,2636
DSONIC,5216,MAIN,5674
DSR,03055,MAIN,7612
DUFU,7233,LEAP,4916
DUTALND,3948,MAIN,4345
DYNAFNT,03046,ACE,1800
E&O,3417,MAIN,6631
EAH,0154,MAIN,4202
EATECH,5259,MAIN,3004
ECM,2143,MAIN,6157
ECOFIRS,3557,ACE,9760
ECOHLDS,0059,MAIN,5906
ECOMATE,0239,MAIN,3841
ECONBHD,5253,MAIN,7190
ECOWLD,8206,MAIN,3384
EDARAN,5036,MAIN,1743
EDEN,7471,ACE,2857
EDGENTA,1368,MAIN,3676
EDUSPEC,0107,MAIN,2365
EFFICEN,0064,ACE,9500
EFORCE,0065,MAIN,6369
EFRAME,0227,ACE,1770
EG,8907,MAIN,3519
EIB,0255,MAIN,8795
EIG,5081,MAIN,4104
EITA,5208,MAIN,1690
EKOVEST,8877,MAIN,1732
EKSONS,9016,MAIN,3230
ELKDESA,5228,MAIN,7094
ELSOFT,0090,MAIN,6904
EMETALL,7217,MAIN,6751
EMICO,9091,LEAP,3427
ENCORP,6076,MAIN,5419
ENEST,03025,MAIN,8388
ENGKAH,7149,MAIN,8417
ENGTEX,5056,MAIN,4988
ENRA,8613,ACE,8855
EPMB,7773,ACE,9909
ESAFE,0190,LEAP,8217
ESCERAM,0100,MAIN,3116
ETH,03021,MAIN,4186
EUPE,6815,MAIN,2829
EURO,7208,ACE,3832
EUROSP,7094,MAIN,5510
EVD,0174,MAIN,8695
EVERGRN,5101,MAIN,2359
EWEIN,7249,MAIN,2198
EWINT,5283,MAIN,6779
F&N,3689,MAIN,3904
FACBIND,2984,MAIN,7193
FAJAR,7047,MAIN,4228
FAREAST,5029,ACE,8755
FARLIM,6041,MAIN,5127
FAST,0084,LEAP,3711
FAVCO,7229,MAIN,2139
FBBHD,03026,MAIN,4146
FCW,2755,MAIN,1811
FFB,5306,MAIN,7246
FGV,5222,MAIN,8673
FIAMMA,6939,MAIN,3395
FIBON,0149,MAIN,6851
FIHB,8605,ACE,6015
FIMACOR,3107,MAIN,3667
FINTEC,0150,MAIN,4004
FITTERS,9318,ACE,2905
FLBHD,5197,MAIN,2105
FLEXI,0231,ACE,2873
FM,7210,ACE,5530
FOCUS,0116,MAIN,4521
FOCUSP,0157,MAIN,5965
FPGROUP,5277,MAIN,1790
FPI,9172,MAIN,4784
FRONTKN,0128,MAIN,6711
FSBM,9377,MAIN,8623
G3,7184,MAIN,7043
GADANG,9261,MAIN,9742
GAMUDA,5398,MAIN,2007
GASMSIA,5209,MAIN,3335
GBGAQRS,5226,MAIN,6161
GCAP,7676,MAIN,4918
GCB,5102,MAIN,1867
GCE,5592,MAIN,4721
GDB,0198,ACE,6489
GDEX,0078,MAIN,4343
GENETEC,0104,MAIN,8810
GENM,4715,MAIN,8892
GENP,2291,MAIN,3753
GENTING,3182,ACE,7650
GESHEN,7197,MAIN,1951
GFM,0039,MAIN,1794
GHLSYS,0021,MAIN,5429
GIIB,7192,MAIN,9656
