Stock_Short_Name,Stock_Code,Market_Name,Stock_Key
SPRITZER,7103,ACE,6481
SPSETIA,8664,MAIN,2594
SPTOTO,1562,MAIN,9874
SRIDGE,0129,MAIN,7602
SSTEEL,5665,ACE,7213
STAR,6084,MAIN,6730
STELLA,5006,MAIN,4096
STRAITS,0080,MAIN,9312
SUBUR,6904,LEAP,8521
SUCCESS,7207,MAIN,3129
SUNCON,5263,MAIN,5594
SUNMOW,03050,MAIN,1781
SUNREIT,5176,ACE,7989
SUNSURIA,3743,MAIN,6682
SUNWAY,5211,MAIN,4696
SUNZEN,0148,LEAP,7637
SUPERLN,7235,MAIN,2133
SUPERMX,7106,MAIN,7061
SUPREME,03018,MAIN,9140
SURIA,6521,MAIN,9869
SWIFT,5303,MAIN,2744
SWKPLNT,5135,MAIN,9238
SWSCAP,7186,MAIN,3923
SYCAL,9717,MAIN,7367
SYF,7082,ACE,3636
SYMLIFE,1538,MAIN,4834
SYSCORP,5173,MAIN,5637
SYSTECH,0050,MAIN,4602
T7GLOBAL,7228,MAIN,6458
TAANN,5012,MAIN,2380
TAFI,7211,MAIN,7169
TAKAFUL,6139,MAIN,9185
TALAMT,2259,MAIN,5563
TALIWRK,8524,MAIN,4902
TAMBUN,5191,MAIN,9329
TANCO,2429,ACE,4184
TAS,5149,MAIN,8787
TASCO,5140,MAIN,2656
TASHIN,0211,ACE,9874
TAWIN,7097,ACE,1536
TCHONG,4405,MAIN,3500
TCS,0221,MAIN,9021
TDEX,0132,MAIN,7256
TDM,2054,MAIN,8074
TECGUAN,7439,MAIN,8712
TECHBND,5289,ACE,7385
TECHNAX,2739,MAIN,2275
TEKSENG,7200,MAIN,7984
TELADAN,0230,MAIN,1986
TENAGA,5347,ACE,1504
TEOSENG,7252,ACE,1688
TEXCHEM,8702,MAIN,6155
TEXCYCL,0089,MAIN,8374
TFP,0145,MAIN,7111
TGL,9369,MAIN,6670
TGUAN,7034,MAIN,9133
THETA,9075,MAIN,4807
THPLANT,5112,MAIN,1783
THRIVEN,7889,MAIN,3668
TIENWAH,7374,MAIN,7205
TIMECOM,5031,MAIN,6353
TIMWELL,7854,MAIN,7369
TITIJYA,5239,MAIN,7247
TJSETIA,5297,MAIN,6050
TM,4863,MAIN,3056
TMCLIFE,0101,MAIN,8382
TNLOGIS,8397,MAIN,4711
TOCEAN,7218,MAIN,3622
TOMEI,7230,MAIN,3682
TOMYPAK,7285,MAIN,8488
TONGHER,5010,LEAP,2352
TOPBLDS,5268,MAIN,8106
TOPGLOV,7113,MAIN,8573
TOPVISN,03013,MAIN,8719
TOYOVEN,7173,ACE,3308
TPC,7176,MAIN,4770
TRC,5054,MAIN,2283
TRIMODE,0199,MAIN,4129
TRIVE,0118,MAIN,5466
TROP,5401,MAIN,4202
TSH,9059,MAIN,1913
TSRCAP,5042,MAIN,4608
TUNEPRO,5230,MAIN,6996
TURBO,5167,MAIN,7088
TURIYA,4359,MAIN,3573
TWL,7079,ACE,9372
TWRREIT,5111,MAIN,8222
UCHITEC,7100,MAIN,5504
UCREST,0005,ACE,7802
UEMS,5148,MAIN,4864
ULICORP,7133,MAIN,4457
UMC,0256,MAIN,7595
UMCCA,2593,MAIN,3688
UMS,7137,MAIN,2633
UMSNGB,7227,ACE,4483
UMW,4588,MAIN,8435
UNIMECH,7091,ACE,2265
UNIQUE,0257,LEAP,7428
UNISEM,5005,MAIN,9692
UNITRAD,0247,MAIN,1704
UNIWALL,03017,MAIN,3218
UOADEV,5200,LEAP,9488
UOAREIT,5110,MAIN,3348
UPA,7757,MAIN,8681
UTAMA,03043,MAIN,7745
UTDPLT,2089,MAIN,6764
UWC,5292,MAIN,2135
UZMA,7250,ACE,7364
VELESTO,5243,ACE,9491
VERSATL,4995,MAIN,4785
VINVEST,0069,MAIN,9076
VIS,0120,ACE,7802
VITROX,0097,MAIN,5691
VIZIONE,7070,ACE,7996
VOLCANO,0232,MAIN,7691
VS,6963,ACE,2590
VSOLAR,0066,MAIN,4192
VSTECS,5162,MAIN,9820
WAJA,0102,MAIN,7398
WANGZNG,7203,MAIN,9024
WARISAN,5016,MAIN,6525
WASEONG,5142,MAIN,3019
WATTA,7226,MAIN,4643
WCEHB,3565,MAIN,2236
WCT,9679,ACE,4774
WEGMANS,0197,MAIN,9635
WELLCAL,7231,MAIN,9871
WIDAD,0162,MAIN,6786
WILLOW,0008,MAIN,3379
WMG,6378,MAIN,9499
WONG,7050,MAIN,9064
WOODLAN,7025,MAIN,8907
WPRTS,5246,MAIN,5277
WTHORSE,5009,MAIN,8013
WTK,4243,MAIN,9434
XDL,5156,ACE,5907
XINHWA,5267,ACE,3313
XL,7121,ACE,7644
XOX,0165,MAIN,5725
XOXNET,0140,MAIN,8363
XOXTECH,0017,ACE,9626
Y&G,7003,MAIN,4632
YB,5048,ACE,4556
YBS,0025,ACE,6126
YENHER,5300,MAIN,1708
YEWLEE,0248,MAIN,8644
YGL,0086,MAIN,7850
YINSON,7293,MAIN,9140
YKGI,7020,MAIN,2504
YLI,7014,MAIN,6308
YNHPROP,3158,MAIN,4059
YOCB,5159,MAIN,6844
YONGTAI,7066,MAIN,5454
YSPSAH,7178,MAIN,6977
YTL,4677,ACE,7826
YTLPOWR,6742,MAIN,8903
YTLREIT,5109,MAIN,8547
YXPM,0250,ACE,3180
ZECON,7028,MAIN,4516
ZELAN,2283,,2471
ZENTECH,0094,,2345
ZHULIAN,5131,,2849
